RPM	DIRECT_LINKS
1918	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_Supra/mp3/Acc_1918_ADPCM.mp3
2358	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_Supra/mp3/Acc_2358_ADPCM.mp3
2680	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_Supra/mp3/Acc_2680_ADPCM.mp3
3530	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_Supra/mp3/Acc_3530_ADPCM.mp3
4584	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_Supra/mp3/Acc_4584_ADPCM.mp3
5463	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_Supra/mp3/Acc_4584_ADPCM.mp3
6284	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_Supra/mp3/Acc_5463_ADPCM.mp3
6700	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_Supra/mp3/Acc_6284_ADPCM.mp3
