RPM	DIRECT_LINKS
950	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_SkylineR33GTR_Eng/mp3/Acc_950_ADPCM.mp3
1606	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_SkylineR33GTR_Eng/mp3/Acc_1606_ADPCM.mp3
2285	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_SkylineR33GTR_Eng/mp3/Acc_2285_ADPCM.mp3
3046	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_SkylineR33GTR_Eng/mp3/Acc_3046_ADPCM.mp3
3808	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_SkylineR33GTR_Eng/mp3/Acc_3808_ADPCM.mp3
4511	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_SkylineR33GTR_Eng/mp3/Acc_4511_ADPCM.mp3
5214	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_SkylineR33GTR_Eng/mp3/Acc_5214_ADPCM.mp3
5961	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_SkylineR33GTR_Eng/mp3/Acc_5961_ADPCM.mp3
6584	https://raw.githubusercontent.com/ElTaistos/Gmod_CarSound/main/Engine/I6TM_SkylineR33GTR_Eng/mp3/Acc_6584_ADPCM.mp3
